R1.64	  R1.38
0.0 	20.00000 
1.0 	28.49237 
2.0 	36.98474 
3.0 	45.47711 
4.0 	53.96948 
5.0 	62.46185 
6.0 	70.95422 
7.0 	79.44658 
8.0 	87.93895 
9.0 	96.43132 
10.0 	104.92369 
11.0 	113.41606 
12.0 	121.90843 
13.0 	130.40080 
14.0 	140.08823 
15.0 	155.57158 
16.0 	171.05492 
17.0 	186.53826 
18.0 	202.02161 
19.0 	217.50495 
20.0 	232.98829 
21.0 	248.47164 
22.0 	263.95498 
23.0 	279.43832 
24.0 	294.92167 
25.0 	313.10207 
26.0 	331.76648 
27.0 	350.43089 
28.0 	369.09530 
29.0 	387.75971 
30.0 	406.42413 
31.0 	425.08854 
32.0 	443.75295 
33.0 	462.41736 
34.0 	481.08177 
35.0 	499.74618 
36.0 	518.41060 
37.0 	540.84952 
38.0 	566.88506 
39.0 	592.92059 
40.0 	618.95612 
41.0 	644.99165 
42.0 	671.02719 
43.0 	697.06272 
44.0 	723.09825 
45.0 	749.13379 
46.0 	775.16932 
47.0 	801.20485 
48.0 	827.24038 
49.0 	853.27592 
50.0 	878.71957 
51.0 	900.45020 
52.0 	922.18083 
53.0 	943.91146 
54.0 	965.64209 
55.0 	987.37272 
56.0 	1009.10334 
57.0 	1030.83397 
58.0 	1052.56460 
59.0 	1074.29523 
60.0 	1096.02586 
61.0 	1117.75649 
62.0 	1139.48712 
63.0 	1161.21774 
64.0 	1182.94837 
65.0 	1204.67900 
66.0 	1226.40963 
67.0 	1248.14026 
68.0 	1269.87088 
69.0 	1291.60151 
70.0 	1313.33214 
71.0 	1335.06277 
72.0 	1356.79340 
73.0 	1378.52402 
74.0 	1400.25465 
75.0 	1421.98528 
76.0 	1443.71591 
77.0 	1462.99888 
78.0 	1480.00593 
79.0 	1497.01299 
80.0 	1514.02004 
81.0 	1531.02710 
82.0 	1548.03416 
83.0 	1565.04121 
84.0 	1582.04827 
85.0 	1599.05532 
86.0 	1616.06238 
87.0 	1633.06943 
88.0 	1650.07649 
89.0 	1667.08354 
90.0 	1684.09060 
91.0 	1701.09765 
92.0 	1718.10471 
93.0 	1735.11176 
94.0 	1752.11882 
95.0 	1764.50669 
96.0 	1775.17471 
97.0 	1785.84274 
98.0 	1796.51076 
99.0 	1807.17879 
100.0 	1817.84681 
101.0 	1828.51483 
102.0 	1839.18286 
103.0 	1849.85088 
104.0 	1860.51890 
105.0 	1871.18693 
106.0 	1881.85495 
107.0 	1892.52297 
108.0 	1903.19100 
109.0 	1913.85902 
110.0 	1924.52704 
111.0 	1932.92814 
112.0 	1939.03864 
113.0 	1945.14913 
114.0 	1951.25963 
115.0 	1957.37013 
116.0 	1963.48063 
117.0 	1969.59112 
118.0 	1975.70162 
119.0 	1981.81212 
120.0 	1987.92262 
121.0 	1994.03311 
122.0 	2000.14361 
123.0 	2006.25411 
124.0 	2012.36461 
125.0 	2018.47510 
126.0 	2024.58560 
127.0 	2030.69610 
128.0 	2033.21613 
129.0 	2034.06038 
130.0 	2034.90464 
131.0 	2035.74889 
132.0 	2036.59315 
133.0 	2037.43741 
134.0 	2038.28166 
135.0 	2039.12592 
136.0 	2039.97018 
137.0 	2040.81443 
138.0 	2041.65869 
139.0 	2042.50294 
140.0 	2043.34720 
141.0 	2044.19146 
142.0 	2045.03571 
143.0 	2045.87997 
144.0 	2044.01949 
145.0 	2041.87502 
146.0 	2039.73055 
147.0 	2037.58608 
148.0 	2035.44161 
149.0 	2033.29714 
150.0 	2031.15267 
151.0 	2029.00820 
152.0 	2026.86372 
153.0 	2024.71925 
154.0 	2022.57478 
155.0 	2020.43031 
