R1.38	   R1.64
0.0 	2970.16931 
1.0 	2808.59300 
2.0 	2647.01669 
3.0 	2485.44038 
4.0 	2323.86406 
5.0 	2162.28775 
6.0 	2000.71144 
7.0 	1839.13513 
8.0 	1762.29508 
9.0 	1762.29508 
10.0 	1762.29508 
11.0 	1762.29508 
12.0 	1762.29508 
13.0 	1762.29508 
14.0 	1762.29508 
15.0 	1762.29508 
16.0 	1762.29508 
17.0 	1762.29508 
18.0 	1762.29508 
19.0 	1762.29508 
20.0 	1762.29508 
21.0 	1762.29508 
22.0 	1762.29508 
23.0 	1762.29508 
24.0 	1762.29508 
25.0 	1762.29508 
26.0 	1762.29508 
27.0 	1762.29508 
28.0 	1762.29508 
29.0 	1762.29508 
30.0 	1762.29508 
31.0 	1762.29508 
32.0 	1762.29508 
33.0 	1762.29508 
34.0 	1762.29508 
35.0 	1762.29508 
36.0 	1762.29508 
37.0 	1762.29508 
38.0 	1762.29508 
39.0 	1762.29508 
40.0 	1762.29508 
41.0 	1762.29508 
42.0 	1762.29508 
43.0 	1762.29508 
44.0 	1762.29508 
45.0 	1762.29508 
46.0 	1762.29508 
47.0 	1762.29508 
48.0 	1762.29508 
49.0 	1762.29508 
50.0 	1762.29508 
51.0 	1762.29508 
52.0 	1762.29508 
53.0 	1762.29508 
54.0 	1762.29508 
55.0 	1762.29508 
56.0 	1762.29508 
57.0 	1762.29508 
58.0 	1762.29508 
59.0 	1762.29508 
60.0 	1761.96345 
61.0 	1761.54014 
62.0 	1761.11684 
63.0 	1760.69353 
64.0 	1760.27023 
65.0 	1759.84693 
66.0 	1759.42362 
67.0 	1759.00032 
68.0 	1758.57701 
69.0 	1758.15371 
70.0 	1757.73041 
71.0 	1757.30710 
72.0 	1756.88380 
73.0 	1756.46049 
74.0 	1756.03719 
75.0 	1755.61389 
76.0 	1755.19058 
77.0 	1754.76728 
78.0 	1754.34397 
79.0 	1753.92067 
80.0 	1753.49737 
81.0 	1753.07406 
82.0 	1752.65076 
83.0 	1752.22745 
84.0 	1751.80415 
85.0 	1751.38085 
86.0 	1750.95754 
87.0 	1750.53424 
88.0 	1750.11093 
89.0 	1749.68763 
90.0 	1749.26432 
91.0 	1748.84102 
92.0 	1748.41772 
93.0 	1747.99441 
94.0 	1747.57111 
95.0 	1747.14780 
96.0 	1746.72450 
97.0 	1746.30120 
98.0 	1745.87789 
99.0 	1745.45459 
100.0 	1745.03128 
101.0 	1744.60798 
102.0 	1744.18468 
103.0 	1743.76137 
104.0 	1743.33807 
105.0 	1742.91476 
106.0 	1742.49146 
107.0 	1742.06816 
108.0 	1741.64485 
109.0 	1741.22155 
110.0 	1740.79824 
111.0 	1740.37494 
112.0 	1739.95164 
113.0 	1739.52833 
114.0 	1739.10503 
115.0 	1738.68172 
116.0 	1738.25842 
117.0 	1737.83512 
118.0 	1737.41181 
119.0 	1736.98851 
120.0 	1736.56520 
121.0 	1736.14190 
122.0 	1735.71860 
123.0 	1735.29529 
124.0 	1734.87199 
125.0 	1734.44868 
126.0 	1734.02538 
127.0 	1733.60208 
128.0 	1733.17877 
129.0 	1732.75547 
130.0 	1732.33216 
131.0 	1731.90886 
132.0 	1731.48555 
133.0 	1731.06225 
134.0 	1730.63895 
135.0 	1730.21564 
136.0 	1729.79234 
137.0 	1729.36903 
138.0 	1728.94573 
139.0 	1728.52243 
140.0 	1728.09912 
141.0 	1727.67582 
142.0 	1727.25251 
143.0 	1726.89947 
144.0 	1726.56439 
145.0 	1726.22932 
146.0 	1725.89425 
147.0 	1725.55917 
148.0 	1725.22410 
149.0 	1724.88903 
150.0 	1724.55395 
151.0 	1724.21888 
152.0 	1723.88381 
153.0 	1723.54873 
154.0 	1723.21366 
155.0 	1722.87859 
156.0 	1722.54351 
157.0 	1722.20844 
158.0 	1721.87337 
159.0 	1721.53829 
160.0 	1721.20322 
161.0 	1720.86815 
162.0 	1720.53307 
163.0 	1720.19800 
164.0 	1719.86293 
165.0 	1719.52785 
166.0 	1719.19278 
167.0 	1718.85771 
168.0 	1718.52263 
169.0 	1718.18756 
170.0 	1717.85249 
171.0 	1717.51741 
172.0 	1717.18234 
173.0 	1716.84727 
174.0 	1716.51219 
175.0 	1716.17712 
176.0 	1715.84205 
177.0 	1715.50697 
178.0 	1715.17190 
179.0 	1714.83683 
180.0 	1714.50175 
181.0 	1714.16668 
182.0 	1713.83161 
183.0 	1713.49653 
184.0 	1713.16146 
185.0 	1712.82639 
186.0 	1712.49131 
187.0 	1712.15624 
188.0 	1711.82117 
189.0 	1711.48609 
190.0 	1711.15102 
191.0 	1710.81595 
192.0 	1710.48087 
193.0 	1710.14580 
194.0 	1709.81073 
195.0 	1709.47565 
196.0 	1709.14058 
197.0 	1708.80551 
198.0 	1708.47043 
199.0 	1708.13536 
200.0 	1707.80029 
201.0 	1707.46521 
202.0 	1707.13014 
203.0 	1706.79507 
204.0 	1706.45999 
205.0 	1706.12492 
206.0 	1705.78985 
207.0 	1705.45477 
208.0 	1705.11970 
209.0 	1704.78463 
210.0 	1704.44955 
211.0 	1704.11448 
212.0 	1703.77941 
213.0 	1703.44433 
214.0 	1703.10926 
215.0 	1702.77419 
216.0 	1702.43911 
217.0 	1702.10404 
218.0 	1701.76897 
219.0 	1701.43389 
220.0 	1701.09882 
221.0 	1700.76375 
222.0 	1700.42867 
223.0 	1700.09360 
224.0 	1699.75853 
225.0 	1699.42345 
226.0 	1699.08838 
227.0 	1698.75331 
228.0 	1698.41823 
229.0 	1698.08316 
230.0 	1697.74809 
231.0 	1697.41301 
232.0 	1697.07794 
233.0 	1696.74287 
234.0 	1696.40779 
235.0 	1696.07272 
236.0 	1695.73765 
237.0 	1695.40258 
238.0 	1695.06750 
239.0 	1694.73243 
240.0 	1694.39736 
241.0 	1694.06228 
242.0 	1693.72721 
243.0 	1693.39214 
244.0 	1693.05706 
245.0 	1692.72199 
246.0 	1692.38692 
247.0 	1692.05184 
248.0 	1691.71677 
249.0 	1691.38170 
250.0 	1691.04662 
251.0 	1690.71155 
252.0 	1690.37648 
253.0 	1690.04140 
254.0 	1689.70633 
255.0 	1689.37126 
256.0 	1689.03618 
257.0 	1688.70111 
258.0 	1688.36604 
259.0 	1688.03096 
260.0 	1687.69589 
261.0 	1687.36082 
262.0 	1687.02574 
263.0 	1686.69067 
264.0 	1686.35560 
265.0 	1686.02052 
266.0 	1685.68545 
267.0 	1685.35038 
268.0 	1685.01530 
269.0 	1684.68023 
270.0 	1684.34516 
271.0 	1684.01008 
272.0 	1683.67501 
273.0 	1683.33994 
274.0 	1683.00486 
275.0 	1682.66979 
276.0 	1682.33472 
277.0 	1681.99964 
278.0 	1681.66457 
279.0 	1681.32950 
280.0 	1680.99442 
281.0 	1680.65935 
282.0 	1680.32428 
283.0 	1679.98920 
284.0 	1679.65413 
285.0 	1679.31906 
286.0 	1678.98398 
287.0 	1678.64891 
288.0 	1678.31384 
289.0 	1677.97876 
290.0 	1677.64369 
291.0 	1677.30862 
292.0 	1676.97354 
293.0 	1676.63847 
294.0 	1676.30340 
295.0 	1675.96832 
296.0 	1675.63325 
297.0 	1675.29818 
298.0 	1674.96310 
299.0 	1674.62803 
300.0 	1674.29296 
301.0 	1673.95788 
302.0 	1673.62281 
303.0 	1673.28774 
304.0 	1672.95266 
305.0 	1672.61759 
306.0 	1672.28252 
307.0 	1671.94744 
308.0 	1671.61237 
309.0 	1671.27730 
310.0 	1670.94222 
311.0 	1670.60715 
312.0 	1670.27208 
313.0 	1669.93700 
314.0 	1669.60193 
315.0 	1669.26686 
316.0 	1668.93178 
317.0 	1668.59671 
318.0 	1668.26164 
319.0 	1667.92656 
320.0 	1667.59149 
321.0 	1667.25642 
322.0 	1666.92134 
323.0 	1666.58627 
324.0 	1666.25120 
325.0 	1665.91612 
326.0 	1665.58105 
327.0 	1665.24598 
328.0 	1664.91090 
329.0 	1664.57583 
330.0 	1664.24076 
331.0 	1663.90568 
332.0 	1663.57061 
333.0 	1663.23554 
334.0 	1662.90046 
335.0 	1662.56539 
336.0 	1662.23032 
337.0 	1661.89524 
338.0 	1661.56017 
339.0 	1661.22510 
340.0 	1660.89002 
341.0 	1660.55495 
342.0 	1660.21988 
343.0 	1659.88480 
344.0 	1659.54973 
345.0 	1659.21466 
346.0 	1658.87958 
347.0 	1658.54451 
348.0 	1658.20944 
349.0 	1657.87436 
350.0 	1657.53929 
351.0 	1657.20422 
352.0 	1656.86914 
353.0 	1656.53407 
354.0 	1656.19900 
355.0 	1655.86392 
356.0 	1655.52885 
357.0 	1655.19378 
358.0 	1654.85870 
359.0 	1654.52363 
360.0 	1654.18856 
361.0 	1653.85348 
362.0 	1653.51841 
363.0 	1653.18334 
364.0 	1652.84826 
365.0 	1652.51319 
366.0 	1652.17812 
367.0 	1651.84304 
368.0 	1651.50797 
369.0 	1651.17290 
370.0 	1650.83782 
371.0 	1650.50275 
372.0 	1650.16768 
373.0 	1649.83260 
374.0 	1649.49753 
375.0 	1649.16246 
376.0 	1648.82738 
377.0 	1648.49231 
378.0 	1648.15724 
379.0 	1647.82216 
380.0 	1647.48709 
381.0 	1647.15202 
382.0 	1646.81694 
383.0 	1646.48187 
384.0 	1646.14680 
385.0 	1645.81173 
386.0 	1645.47665 
387.0 	1645.14158 
388.0 	1644.80651 
389.0 	1644.47143 
390.0 	1644.13636 
391.0 	1643.80129 
392.0 	1643.46621 
393.0 	1643.13114 
394.0 	1642.79607 
395.0 	1642.46099 
396.0 	1642.12592 
397.0 	1641.79085 
398.0 	1641.45577 
399.0 	1641.12070 
400.0 	1640.78563 
401.0 	1640.45055 
402.0 	1640.11548 
403.0 	1639.78041 
404.0 	1639.44533 
405.0 	1639.11026 
406.0 	1638.77519 
407.0 	1638.44011 
408.0 	1638.10504 
409.0 	1637.76997 
410.0 	1637.43489 
411.0 	1637.09982 
412.0 	1636.76475 
413.0 	1636.42967 
414.0 	1636.09460 
415.0 	1635.75953 
416.0 	1635.42445 
417.0 	1635.08938 
418.0 	1634.75431 
419.0 	1634.41923 
420.0 	1634.08416 
421.0 	1633.74909 
422.0 	1633.41401 
423.0 	1633.07894 
424.0 	1632.74387 
425.0 	1632.40879 
426.0 	1632.07372 
427.0 	1631.73865 
428.0 	1631.40357 
429.0 	1631.06850 
430.0 	1630.73343 
431.0 	1630.39835 
432.0 	1630.06328 
433.0 	1629.72821 
434.0 	1629.39313 
435.0 	1629.05806 
436.0 	1628.72299 
437.0 	1628.38791 
438.0 	1628.05284 
439.0 	1627.71777 
440.0 	1627.38269 
441.0 	1627.04762 
442.0 	1626.71255 
443.0 	1626.37747 
444.0 	1626.04240 
445.0 	1625.70733 
446.0 	1625.37225 
447.0 	1625.03718 
448.0 	1624.70211 
449.0 	1624.36703 
450.0 	1624.03196 
451.0 	1623.69689 
452.0 	1623.36181 
453.0 	1623.02674 
454.0 	1622.69167 
455.0 	1622.35659 
456.0 	1622.02152 
457.0 	1621.68645 
458.0 	1621.35137 
459.0 	1621.01630 
460.0 	1620.68123 
461.0 	1620.34615 
