T11.0   	  R1.64
2250.0 	500.00000 
2251.0 	511.59428 
2252.0 	523.18855 
2253.0 	534.78283 
2254.0 	546.37711 
2255.0 	557.97139 
2256.0 	569.56566 
2257.0 	581.15994 
2258.0 	592.75422 
2259.0 	604.34849 
2260.0 	615.94277 
2261.0 	627.53705 
2262.0 	639.13132 
2263.0 	650.72560 
2264.0 	662.31988 
2265.0 	673.91416 
2266.0 	685.50843 
2267.0 	697.10271 
2268.0 	708.69699 
2269.0 	720.29126 
2270.0 	731.88554 
2271.0 	743.47982 
2272.0 	755.07410 
2273.0 	766.66837 
2274.0 	778.26265 
2275.0 	789.85693 
2276.0 	801.45120 
2277.0 	813.04548 
2278.0 	824.63976 
2279.0 	836.23403 
2280.0 	846.79439 
2281.0 	857.25688 
2282.0 	867.71937 
2283.0 	878.18186 
2284.0 	888.64435 
2285.0 	899.10685 
2286.0 	909.56934 
2287.0 	920.03183 
2288.0 	930.49432 
2289.0 	940.95681 
2290.0 	951.41931 
2291.0 	961.88180 
2292.0 	972.34429 
2293.0 	982.80678 
2294.0 	993.26927 
2295.0 	1003.73177 
2296.0 	1014.19426 
2297.0 	1024.65675 
2298.0 	1035.11924 
2299.0 	1045.58173 
2300.0 	1056.04423 
2301.0 	1066.50672 
2302.0 	1076.96921 
2303.0 	1087.43170 
2304.0 	1097.89420 
2305.0 	1108.35669 
2306.0 	1117.92931 
2307.0 	1126.61368 
2308.0 	1135.29806 
2309.0 	1143.98244 
2310.0 	1152.66681 
2311.0 	1161.35119 
2312.0 	1170.03557 
2313.0 	1178.71995 
2314.0 	1187.40432 
2315.0 	1196.08870 
2316.0 	1204.77308 
2317.0 	1213.45745 
2318.0 	1222.14183 
2319.0 	1230.82621 
2320.0 	1239.51058 
2321.0 	1248.19496 
2322.0 	1256.87934 
2323.0 	1265.56372 
2324.0 	1274.24809 
2325.0 	1282.93247 
2326.0 	1291.61685 
2327.0 	1300.30122 
2328.0 	1308.98560 
2329.0 	1317.66998 
2330.0 	1326.35435 
2331.0 	1335.03873 
2332.0 	1345.13719 
2333.0 	1355.42527 
2334.0 	1365.71335 
2335.0 	1376.00143 
2336.0 	1386.28951 
2337.0 	1396.57759 
2338.0 	1406.86567 
2339.0 	1417.15375 
2340.0 	1427.44184 
2341.0 	1437.72992 
2342.0 	1448.01800 
2343.0 	1458.30608 
2344.0 	1468.59416 
2345.0 	1478.88224 
2346.0 	1489.17032 
2347.0 	1499.45840 
2348.0 	1509.74648 
2349.0 	1520.03456 
2350.0 	1530.32264 
2351.0 	1540.61072 
2352.0 	1550.89880 
2353.0 	1561.18688 
2354.0 	1571.47497 
2355.0 	1581.76305 
2356.0 	1590.06784 
2357.0 	1597.72040 
2358.0 	1605.37296 
