R164	 T11mT12	
100.0 	130.00000 
101.0 	128.87675 
102.0 	127.75351 
103.0 	126.63026 
104.0 	125.50702 
105.0 	124.38377 
106.0 	123.26053 
107.0 	122.13728 
108.0 	121.01404 
109.0 	119.89079 
110.0 	118.76755 
111.0 	117.64430 
112.0 	116.52106 
113.0 	115.39781 
114.0 	114.27456 
115.0 	113.15132 
116.0 	112.02807 
117.0 	110.90483 
118.0 	109.78158 
119.0 	108.65834 
120.0 	107.53509 
121.0 	106.41185 
122.0 	105.28860 
123.0 	104.16536 
124.0 	103.04211 
125.0 	101.91887 
126.0 	100.79562 
127.0 	99.67237 
128.0 	98.54913 
129.0 	97.42588 
130.0 	96.30264 
131.0 	95.17939 
132.0 	94.05615 
133.0 	92.93290 
134.0 	91.80966 
135.0 	90.68641 
136.0 	89.56317 
137.0 	88.43992 
138.0 	87.31668 
139.0 	86.19343 
140.0 	85.07018 
141.0 	83.94694 
142.0 	82.82369 
143.0 	81.70045 
144.0 	80.57720 
145.0 	79.45396 
146.0 	78.33071 
147.0 	77.20747 
148.0 	76.08422 
149.0 	74.96098 
150.0 	73.82844 
151.0 	72.61828 
152.0 	71.40813 
153.0 	70.19797 
154.0 	68.98782 
155.0 	67.77766 
156.0 	66.56751 
157.0 	65.35735 
158.0 	64.14720 
159.0 	62.93704 
160.0 	61.72689 
161.0 	60.51674 
162.0 	59.30658 
163.0 	58.09643 
164.0 	56.88627 
165.0 	55.67612 
166.0 	54.46596 
167.0 	53.25581 
168.0 	52.04565 
169.0 	50.83550 
170.0 	49.62534 
171.0 	48.41519 
172.0 	47.20503 
173.0 	45.99488 
174.0 	44.78472 
175.0 	43.57457 
176.0 	42.36442 
177.0 	41.15426 
178.0 	39.94411 
179.0 	38.73395 
180.0 	37.52380 
181.0 	36.31364 
182.0 	35.10349 
183.0 	33.89333 
184.0 	32.68318 
185.0 	31.47302 
186.0 	30.26287 
187.0 	29.05271 
188.0 	27.84256 
189.0 	26.63240 
190.0 	25.42225 
191.0 	24.21210 
192.0 	23.00194 
193.0 	21.79179 
194.0 	20.58163 
195.0 	19.37148 
196.0 	18.16132 
197.0 	16.95117 
198.0 	15.74101 
199.0 	14.53086 
200.0 	13.44160 
201.0 	12.37277 
202.0 	11.30394 
203.0 	10.23511 
204.0 	9.16627 
205.0 	8.09744 
206.0 	7.02861 
207.0 	5.95978 
208.0 	4.89095 
209.0 	3.82211 
210.0 	2.75328 
211.0 	1.68445 
212.0 	0.61562 
213.0 	-0.45321 
214.0 	-1.52205 
215.0 	-2.59088 
216.0 	-3.65971 
217.0 	-4.72854 
218.0 	-5.79737 
219.0 	-6.86621 
220.0 	-7.93504 
221.0 	-9.00387 
222.0 	-10.07270 
223.0 	-11.14153 
224.0 	-12.21037 
225.0 	-13.27920 
226.0 	-14.34803 
227.0 	-15.41686 
228.0 	-16.48569 
229.0 	-17.55453 
230.0 	-18.62336 
231.0 	-19.69219 
232.0 	-20.76102 
233.0 	-21.82986 
234.0 	-22.89869 
235.0 	-23.96752 
236.0 	-25.03635 
237.0 	-26.10518 
238.0 	-27.17402 
239.0 	-28.24285 
240.0 	-29.31168 
241.0 	-30.38051 
242.0 	-31.44934 
243.0 	-32.51818 
244.0 	-33.58701 
245.0 	-34.65584 
246.0 	-35.72467 
247.0 	-36.79350 
248.0 	-37.86234 
249.0 	-38.93117 
250.0 	-40.00000 
