 NDVI	  NDSI
0.000 	0.40022 
0.010 	0.40022 
0.020 	0.40022 
0.030 	0.40022 
0.040 	0.40022 
0.050 	0.40022 
0.060 	0.40022 
0.070 	0.40022 
0.080 	0.40022 
0.090 	0.40022 
0.100 	0.40022 
0.110 	0.37881 
0.120 	0.35664 
0.130 	0.33572 
0.140 	0.31497 
0.150 	0.29350 
0.160 	0.27162 
0.170 	0.25034 
0.180 	0.22905 
0.190 	0.20773 
0.200 	0.18665 
0.210 	0.16582 
0.220 	0.14604 
0.230 	0.12779 
0.240 	0.11104 
0.250 	0.10041 
0.260 	0.10196 
0.270 	0.10368 
0.280 	0.10669 
0.290 	0.10970 
0.300 	0.11271 
0.310 	0.11525 
0.320 	0.11774 
0.330 	0.12023 
0.340 	0.12272 
0.350 	0.12550 
0.360 	0.12832 
0.370 	0.13113 
0.380 	0.13394 
0.390 	0.13698 
0.400 	0.14003 
0.410 	0.14308 
0.420 	0.14603 
0.430 	0.14878 
0.440 	0.15154 
0.450 	0.15429 
0.460 	0.15739 
0.470 	0.16062 
0.480 	0.16384 
0.490 	0.16707 
0.500 	0.17029 
0.510 	0.17307 
0.520 	0.17585 
0.530 	0.17863 
0.540 	0.18141 
0.550 	0.18419 
0.560 	0.18705 
0.570 	0.19001 
0.580 	0.19297 
0.590 	0.19593 
0.600 	0.19889 
0.610 	0.20185 
0.620 	0.20565 
0.630 	0.20964 
0.640 	0.21363 
0.650 	0.21762 
0.660 	0.22161 
0.670 	0.22560 
0.680 	0.22931 
0.690 	0.23282 
0.700 	0.23633 
0.710 	0.23983 
0.720 	0.24335 
0.730 	0.24691 
0.740 	0.25048 
0.750 	0.25404 
0.760 	0.25760 
0.770 	0.26116 
0.780 	0.26573 
0.790 	0.27073 
0.800 	0.27574 
0.810 	0.28074 
0.820 	0.28574 
0.830 	0.29065 
0.840 	0.29544 
0.850 	0.30023 
0.860 	0.30502 
0.870 	0.30984 
0.880 	0.31523 
0.890 	0.32062 
0.900 	0.32601 
0.910 	0.33140 
0.920 	0.33776 
0.930 	0.34424 
0.940 	0.35072 
0.950 	0.35784 
0.960 	0.36568 
0.970 	0.37353 
0.980 	0.38230 
0.990 	0.39129 
1.000 	0.40029 
